team_number,team_name,city,state_prov,country,robot_image_url
16,Bomb Squad,Mountain Home,Arkansas,USA,https://i.imgur.com/dCkkFhGm.jpg
34,Rockets,Athens,Alabama,USA,
59,RamTech,Miami,Florida,USA,
176,Aces High,Windsor Locks,Connecticut,USA,https://i.imgur.com/M6Whdytm.jpg
180,S.P.A.M.,Stuart,Florida,USA,https://i.imgur.com/xmC73rgm.jpg
190,Gompei and the HERD,Worcester,Massachusetts,USA,https://i.imgur.com/D6xSvjnm.jpg
201,The FEDS,Rochester,Michigan,USA,https://i.imgur.com/3QRpFkjm.jpg
233,The Pink Team,Rockledge,Florida,USA,https://i.imgur.com/wDqysH3m.jpg
353,POBots,Plainview,New York,USA,https://i.imgur.com/zN0GOSnm.jpg
498,The Cobra Commanders,Glendale,Arizona,USA,https://i.imgur.com/DqRQfsvm.jpg
620,Warbots,Vienna,Virginia,USA,https://i.imgur.com/nLlSiuSm.jpg
706,Cyberhawks,Hartland,Wisconsin,USA,https://i.imgur.com/1ZsoDGHm.jpg
834,SparTechs,Center Valley,Pennsylvania,USA,
971,Spartan Robotics,Mountain View,California,USA,https://i.imgur.com/fkQPLw0m.jpg
1002,CircuitRunners Robotics,Marietta,Georgia,USA,https://i.imgur.com/WpNTQUSm.jpg
1218,SCH Robotics,Philadelphia,Pennsylvania,USA,https://i.imgur.com/I5REi1Rm.jpg
1501,Team THRUST,Huntington,Indiana,USA,https://i.imgur.com/eAzb954m.jpg
1538,The Holy Cows,San Diego,California,USA,https://i.imgur.com/vZ66p6Xm.jpg
1540,Flaming Chickens,Portland,Oregon,USA,https://i.imgur.com/sVXM6N6m.jpg
1561,Roboducks,Oklahoma City,Oklahoma,USA,
1625,Winnovation,Winnebago,Illinois,USA,
1792,Round Table Robotics,Oak Creek,Wisconsin,USA,https://i.imgur.com/J64WgMXm.jpg
1868,Space Cookies,Mountain View,California,USA,
1986,Team Titanium,Lees Summit,Missouri,USA,
2230,General Angels,Herzliya,HaMerkaz,Israel,https://i.imgur.com/AZCTT1Pm.jpg
2370,IBOTS,Rutland,Vermont,USA,https://i.imgur.com/b8i05V6m.jpg
2530,Inconceivable,Rochester,Minnesota,USA,https://i.imgur.com/1teRpAXm.jpg
2614,Mountaineer Area RoboticS (MARS),Morgantown,West Virginia,USA,https://i.imgur.com/79AI12Wm.jpg
